Source,Target,Type,Weight
Ola Elvestuen,Grunde Almeland,Directed,1
Ola Elvestuen,Nikolai Astrup,Directed,1
Ola Elvestuen,Jan Tore Sanner,Directed,1
Ola Elvestuen,Alfred Jens,Directed,1
Ola Elvestuen,Abid Raja,Directed,1
Ola Elvestuen,Sveinung Rotevatn,Directed,1
Ola Elvestuen,Guri Melby,Directed,1
Abid Raja,Hårek Elvenes,Directed,1
Abid Raja,Mari Holm Lønseth,Directed,1
Abid Raja,Ove Trellevik,Directed,1
Abid Raja,M Tybring-Gjedde,Directed,1
Abid Raja,Grunde Almeland,Directed,1
Abid Raja,Bård Ludvig Thorheim,Directed,1
Abid Raja,Terje Halleland,Directed,1
Abid Raja,Sveinung Stensland,Directed,1
Abid Raja,Sverre Myrli,Directed,1
Abid Raja,Helge Andre Njåstad,Directed,1
Abid Raja,Sivert Bjørnstad,Directed,1
Abid Raja,Peter Frølich,Directed,1
Abid Raja,Olaug Vervik,Directed,1
Abid Raja,Andre N Skjelstad,Directed,1
Abid Raja,Rasmus JM Hansson,Directed,1
Abid Raja,Kari Henriksen,Directed,1
Abid Raja,Tone Wilhelmsen,Directed,1
Abid Raja,Helge Orten,Directed,1
Abid Raja,Himanshu,Directed,1
Abid Raja,Bård Hoksrud,Directed,1
Abid Raja,Roy Steffensen   roysteffensen,Directed,1
Abid Raja,Masud Gharahkhani,Directed,1
Abid Raja,Ingvild Kjerkol,Directed,1
Abid Raja,Mudassar Kapur,Directed,1
Abid Raja,Marian Hussein,Directed,1
Abid Raja,Åsmund Aukrust,Directed,1
Abid Raja,Lise Christoffersen,Directed,1
Abid Raja,Erling Sande,Directed,1
Abid Raja,Lene Westgaard-Halle,Directed,1
Abid Raja,Lene Vågslid,Directed,1
Abid Raja,Kjersti Toppe,Directed,1
Abid Raja,Terje Aasland,Directed,1
Abid Raja,Dag-Inge,Directed,1
Abid Raja,Rigmor Aasrud,Directed,1
Abid Raja,Bjørnar Moxnes,Directed,1
Abid Raja,Anniken Huitfeldt,Directed,1
Abid Raja,Per-Willy Amundsen,Directed,1
Abid Raja,Geir Pollestad,Directed,1
Abid Raja,Lars Haltbrekken,Directed,1
Abid Raja,Mímir Kristjánsson,Directed,1
Abid Raja,Alfred Jens,Directed,1
Abid Raja,Espen Barth Eide,Directed,1
Abid Raja,Linda H. Helleland,Directed,1
Abid Raja,AnetteTrettebergst.,Directed,1
Abid Raja,Kamzy Gunaratnam,Directed,1
Abid Raja,Erlend Wiborg,Directed,1
Abid Raja,Jan Tore Sanner,Directed,1
Abid Raja,Tina Bru,Directed,1
Abid Raja,Jonas Gahr Støre,Directed,1
Abid Raja,VamPus,Directed,1
Abid Raja,Henrik Asheim,Directed,1
Abid Raja,Erna Solberg,Directed,1
Abid Raja,Sveinung Rotevatn,Directed,1
Abid Raja,Lan Marie N. Berg,Directed,1
Abid Raja,Kjell Ingolf Ropstad,Directed,1
Abid Raja,Kari Elisabeth Kaski,Directed,1
Abid Raja,Audun Lysbakken,Directed,1
Abid Raja,Tage Pettersen,Directed,1
Abid Raja,Eigil Knutsen,Directed,1
Abid Raja,Ola Elvestuen,Directed,1
Abid Raja,Hadia Tajik,Directed,1
Abid Raja,Nikolai Astrup,Directed,1
Abid Raja,Cecilie Myrseth,Directed,1
Abid Raja,Guri Melby,Directed,1
Marie Sneve,Bjørnar Moxnes,Directed,1
Marie Sneve,Seher Aydar,Directed,1
Marie Sneve,Lars Haltbrekken,Directed,1
Marie Sneve,Mímir Kristjánsson,Directed,1
Marie Sneve,Kari Elisabeth Kaski,Directed,1
Guri Melby,Ingvild Wetrhus Thorsvik,Directed,1
Guri Melby,Dag-Inge,Directed,1
Guri Melby,Roy Steffensen   roysteffensen,Directed,1
Guri Melby,Sivert Bjørnstad,Directed,1
Guri Melby,Tage Pettersen,Directed,1
Guri Melby,Ingvild Kjerkol,Directed,1
Guri Melby,Kjersti Toppe,Directed,1
Guri Melby,Kari Henriksen,Directed,1
Guri Melby,Marit Knutsdatter Strand,Directed,1
Guri Melby,Lan Marie N. Berg,Directed,1
Guri Melby,Peter Frølich,Directed,1
Guri Melby,Geir Pollestad,Directed,1
Guri Melby,Hårek Elvenes,Directed,1
Guri Melby,Olaug Vervik,Directed,1
Guri Melby,Himanshu,Directed,1
Guri Melby,Kamzy Gunaratnam,Directed,1
Guri Melby,Carl Ivar Hagen,Directed,1
Guri Melby,Rasmus JM Hansson,Directed,1
Guri Melby,Lene Westgaard-Halle,Directed,1
Guri Melby,Mudassar Kapur,Directed,1
Guri Melby,Bjørnar Moxnes,Directed,1
Guri Melby,Lise Christoffersen,Directed,1
Guri Melby,Sandra Borch,Directed,1
Guri Melby,Ola Elvestuen,Directed,1
Guri Melby,Kari Elisabeth Kaski,Directed,1
Guri Melby,Grunde Almeland,Directed,1
Guri Melby,Anniken Huitfeldt,Directed,1
Guri Melby,Henrik Asheim,Directed,1
Guri Melby,Kjell Ingolf Ropstad,Directed,1
Guri Melby,AnetteTrettebergst.,Directed,1
Guri Melby,Mímir Kristjánsson,Directed,1
Guri Melby,Espen Barth Eide,Directed,1
Guri Melby,Aleksander Stokkebø,Directed,1
Guri Melby,Jan Tore Sanner,Directed,1
Guri Melby,Hadia Tajik,Directed,1
Guri Melby,VamPus,Directed,1
Guri Melby,M Tybring-Gjedde,Directed,1
Guri Melby,Mari Holm Lønseth,Directed,1
Guri Melby,Audun Lysbakken,Directed,1
Guri Melby,Jonas Gahr Støre,Directed,1
Guri Melby,Nikolai Astrup,Directed,1
Guri Melby,Alfred Jens,Directed,1
Guri Melby,Sveinung Rotevatn,Directed,1
Guri Melby,Abid Raja,Directed,1
