Source,Target
Eigil Knutsen,Kari Elisabeth Kaski
Eigil Knutsen,Ove Trellevik
Eigil Knutsen,Sivert Bjørnstad
Eigil Knutsen,Peter Frølich
Eigil Knutsen,Kari Henriksen
Eigil Knutsen,Ove Trellevik
Eigil Knutsen,Lene Westgaard-Halle
Tage Pettersen,Lene Westgaard-Halle
Tage Pettersen,Lene Westgaard-Halle
Lene Westgaard-Halle,Alfred Jens
Lene Westgaard-Halle,Tage Pettersen
Lene Westgaard-Halle,Tage Pettersen
Lene Westgaard-Halle,Erna Solberg
Lene Westgaard-Halle,Tage Pettersen
Lene Westgaard-Halle,Tage Pettersen
Lene Westgaard-Halle,Sveinung Rotevatn
Lene Westgaard-Halle,M Tybring-Gjedde
Lene Westgaard-Halle,Tage Pettersen
Lene Westgaard-Halle,Mari Holm Lønseth
Sandra Borch,Lene Westgaard-Halle
Sandra Borch,Marit Knutsdatter Strand
Sandra Borch,Espen Barth Eide
Sandra Borch,Lene Westgaard-Halle
Sandra Borch,Lars Haltbrekken
Sandra Borch,Lene Westgaard-Halle
Sandra Borch,Lars Haltbrekken
Sandra Borch,Geir Pollestad
Sandra Borch,Sveinung Rotevatn
Sandra Borch,Sveinung Rotevatn
Sandra Borch,Sveinung Rotevatn
Sandra Borch,Sveinung Rotevatn
Sandra Borch,Lene Westgaard-Halle
Sandra Borch,Ole André Myhrvold
Sandra Borch,Lars Haltbrekken
Sandra Borch,Sveinung Rotevatn
Sandra Borch,Bjørnar Skjæran
Sandra Borch,Mona Fagerås
Sandra Borch,Bjørnar Skjæran
Audun Lysbakken,Sveinung Rotevatn
Audun Lysbakken,Sveinung Rotevatn
Audun Lysbakken,Lars Haltbrekken
Audun Lysbakken,Lars Haltbrekken
Audun Lysbakken,Lars Haltbrekken
Audun Lysbakken,Lars Haltbrekken
Audun Lysbakken,Lars Haltbrekken
Audun Lysbakken,Lars Haltbrekken
Audun Lysbakken,Lars Haltbrekken
Audun Lysbakken,Lars Haltbrekken
Audun Lysbakken,Lars Haltbrekken
Audun Lysbakken,Lars Haltbrekken
Audun Lysbakken,Lars Haltbrekken
Lise Selnes,Lise Selnes
Lise Selnes,Lise Selnes
Henrik Asheim,Roy Steffensen   roysteffensen
Henrik Asheim,Peter Frølich
Henrik Asheim,Peter Frølich
Henrik Asheim,Guri Melby
Henrik Asheim,Guri Melby
Henrik Asheim,Guri Melby
Henrik Asheim,Roy Steffensen   roysteffensen
Henrik Asheim,Marit Knutsdatter Strand
Kamzy Gunaratnam,
Lars Haltbrekken,Audun Lysbakken
Lars Haltbrekken,Audun Lysbakken
Himanshu,Roy Steffensen   roysteffensen
Himanshu,M Tybring-Gjedde
Himanshu,Erlend Wiborg
Himanshu,Erlend Wiborg
Himanshu,Erlend Wiborg
Himanshu,Roy Steffensen   roysteffensen
Himanshu,Erlend Wiborg
Himanshu,Roy Steffensen   roysteffensen
Himanshu,Roy Steffensen   roysteffensen
Himanshu,Abid Raja
Himanshu,Peter Frølich
Himanshu,Marian Hussein
Himanshu,Marian Hussein
Himanshu,Kari Henriksen
Himanshu,Peter Frølich
Himanshu,Peter Frølich
Erling Sande,Marit Knutsdatter Strand
Erling Sande,Marit Knutsdatter Strand
Erling Sande,Geir Pollestad
Erling Sande,Marit Knutsdatter Strand
Erling Sande,Kjell Ingolf Ropstad
Erling Sande,Geir Pollestad
Erling Sande,Sveinung Rotevatn
Erling Sande,Rasmus JM Hansson
Erling Sande,Rasmus JM Hansson
Erling Sande,Rasmus JM Hansson
Erling Sande,Erling Sande
Erling Sande,Lars Haltbrekken
Erling Sande,Lars Haltbrekken
Erling Sande,Erling Sande
Erling Sande,Lars Haltbrekken
Erling Sande,Erling Sande
Erling Sande,Erling Sande
Erling Sande,Erling Sande
Erling Sande,Erling Sande
Erling Sande,Sveinung Rotevatn
Erling Sande,Lars Haltbrekken
Erling Sande,Erling Sande
Erling Sande,Lars Haltbrekken
Erling Sande,Erling Sande
Erling Sande,Lars Haltbrekken
Erling Sande,Erling Sande
Erling Sande,Lars Haltbrekken
Erling Sande,Erling Sande
Erling Sande,Erling Sande
Erling Sande,Erling Sande
Erling Sande,Erling Sande
Erling Sande,Erling Sande
Erling Sande,Erling Sande
Erling Sande,Erling Sande
Erling Sande,Kari Elisabeth Kaski
Erling Sande,Lars Haltbrekken
Erling Sande,Kjell Ingolf Ropstad
Erling Sande,Lars Haltbrekken
Erling Sande,Lan Marie N. Berg
Erling Sande,Lars Haltbrekken
Kjersti Toppe,Mímir Kristjánsson
Kjersti Toppe,Tage Pettersen
