Source,Target,Type,Weight
21746816,217217458,Directed,1
21746816,30759351,Directed,1
21746816,2645220702,Directed,1
21746816,32397331,Directed,1
21746816,319228928,Directed,1
21746816,20679622,Directed,1
21746816,29928571,Directed,1
21746816,34656014,Directed,1
21746816,2228363243,Directed,1
21746816,195848365,Directed,1
21746816,26214264,Directed,1
21746816,514596967,Directed,1
21746816,951333086,Directed,1
21746816,221822662,Directed,1
21746816,26708613,Directed,1
21746816,26719515,Directed,1
21746816,27317182,Directed,1
21746816,369395471,Directed,1
21746816,19764533,Directed,1
21746816,244983461,Directed,1
21746816,45565446,Directed,1
21746816,14687587,Directed,1
21746816,18387289,Directed,1
21746816,112871323,Directed,1
21746816,38260259,Directed,1
21746816,26588415,Directed,1
21746816,26470805,Directed,1
21746816,600758713,Directed,1
21746816,38769939,Directed,1
21746816,473914976,Directed,1
21746816,34703909,Directed,1
21746816,86154361,Directed,1
21746816,273638217,Directed,1
21746816,20611702,Directed,1
21746816,37665779,Directed,1
21746816,279131939,Directed,1
21746816,317034318,Directed,1
21746816,34941106,Directed,1
21746816,63129578,Directed,1
21746816,20868447,Directed,1
21746816,37677256,Directed,1
21746816,24143353,Directed,1
21746816,23320712,Directed,1
21746816,22415635,Directed,1
21746816,16432083,Directed,1
21746816,18293645,Directed,1
21746816,20301193,Directed,1
21746816,19119226,Directed,1
22415635,39974570,Directed,1
22415635,1551459979,Directed,1
22415635,338369157,Directed,1
22415635,20679622,Directed,1
22415635,333903537,Directed,1
22415635,838111239750447104,Directed,1
22415635,32397331,Directed,1
22415635,28361716,Directed,1
22415635,81154009,Directed,1
22415635,273638217,Directed,1
22415635,18387289,Directed,1
22415635,2645220702,Directed,1
22415635,24531620,Directed,1
22415635,319228928,Directed,1
22415635,26837025,Directed,1
22415635,38769939,Directed,1
22415635,26588415,Directed,1
22415635,21423985,Directed,1
22415635,86154361,Directed,1
22415635,473914976,Directed,1
22415635,317034318,Directed,1
22415635,34703909,Directed,1
22415635,221822662,Directed,1
22415635,34656014,Directed,1
22415635,21746816,Directed,1
22415635,369395471,Directed,1
22415635,19764533,Directed,1
22415635,26214264,Directed,1
22415635,217217458,Directed,1
22415635,26470805,Directed,1
22415635,279131939,Directed,1
22415635,195848365,Directed,1
22415635,218910852,Directed,1
22415635,101727020,Directed,1
22415635,23320712,Directed,1
22415635,63129578,Directed,1
22415635,18293645,Directed,1
22415635,37665779,Directed,1
22415635,34941106,Directed,1
22415635,27317182,Directed,1
22415635,20868447,Directed,1
22415635,45565446,Directed,1
22415635,37677256,Directed,1
22415635,39091525,Directed,1
22415635,16432083,Directed,1
22415635,14687587,Directed,1
22415635,29928571,Directed,1
22415635,19119226,Directed,1
22415635,20301193,Directed,1
23320712,30759351,Directed,1
23320712,26214264,Directed,1
23320712,319228928,Directed,1
23320712,21423985,Directed,1
23320712,20679622,Directed,1
23320712,369395471,Directed,1
23320712,18293645,Directed,1
23320712,26470805,Directed,1
23320712,221822662,Directed,1
23320712,45565446,Directed,1
23320712,86154361,Directed,1
23320712,20611702,Directed,1
23320712,14687587,Directed,1
23320712,473914976,Directed,1
23320712,19764533,Directed,1
23320712,27317182,Directed,1
23320712,34703909,Directed,1
23320712,39091525,Directed,1
23320712,195848365,Directed,1
23320712,28952277,Directed,1
23320712,63129578,Directed,1
23320712,279131939,Directed,1
23320712,58733138,Directed,1
23320712,217217458,Directed,1
23320712,273638217,Directed,1
23320712,20301193,Directed,1
23320712,24143353,Directed,1
23320712,29928571,Directed,1
23320712,16432083,Directed,1
23320712,20868447,Directed,1
23320712,34941106,Directed,1
23320712,26837025,Directed,1
23320712,37677256,Directed,1
23320712,22415635,Directed,1
23320712,26588415,Directed,1
23320712,26719515,Directed,1
23320712,21746816,Directed,1
23320712,19119226,Directed,1
24143353,217217458,Directed,1
24143353,18387289,Directed,1
24143353,20611702,Directed,1
24143353,63129578,Directed,1
24143353,26588415,Directed,1
24143353,19119226,Directed,1
24143353,23320712,Directed,1
24143353,38260259,Directed,1
24143353,26837025,Directed,1
24143353,37677256,Directed,1
24143353,45565446,Directed,1
24143353,26719515,Directed,1
24143353,21746816,Directed,1
24143353,19764533,Directed,1
24143353,221822662,Directed,1
24143353,279131939,Directed,1
24143353,20868447,Directed,1
24143353,473914976,Directed,1
24143353,14687587,Directed,1
24143353,34941106,Directed,1
24143353,22415635,Directed,1
24143353,149410514,Directed,1
24143353,2228363243,Directed,1
24143353,29928571,Directed,1
24143353,28361716,Directed,1
24143353,20301193,Directed,1
24143353,21423985,Directed,1
24143353,58733138,Directed,1
24143353,27317182,Directed,1
24531620,28361716,Directed,1
24531620,20679622,Directed,1
24531620,21423985,Directed,1
24531620,838111239750447104,Directed,1
24531620,951333086,Directed,1
24531620,58733138,Directed,1
24531620,18387289,Directed,1
24531620,86154361,Directed,1
24531620,471837649,Directed,1
24531620,317034318,Directed,1
24531620,32397331,Directed,1
24531620,34656014,Directed,1
24531620,2428650736,Directed,1
24531620,45565446,Directed,1
24531620,29928571,Directed,1
24531620,37665779,Directed,1
24531620,20611702,Directed,1
24531620,27317182,Directed,1
24531620,2228363243,Directed,1
24531620,369395471,Directed,1
24531620,19764533,Directed,1
24531620,26719515,Directed,1
24531620,38260259,Directed,1
24531620,221822662,Directed,1
24531620,26837025,Directed,1
24531620,21746816,Directed,1
24531620,26470805,Directed,1
24531620,473914976,Directed,1
24531620,23320712,Directed,1
24531620,273638217,Directed,1
24531620,279131939,Directed,1
24531620,31343887,Directed,1
24531620,217217458,Directed,1
24531620,14687587,Directed,1
24531620,20868447,Directed,1
24531620,19119226,Directed,1
24531620,37677256,Directed,1
24531620,63129578,Directed,1
24531620,16432083,Directed,1
24531620,20301193,Directed,1
24531620,34941106,Directed,1
24531620,30759351,Directed,1
24531620,32535843,Directed,1
24531620,34703909,Directed,1
24531620,24143353,Directed,1
24531620,26588415,Directed,1
24531620,22415635,Directed,1
26214264,21423985,Directed,1
26214264,28361716,Directed,1
26214264,23320712,Directed,1
26214264,317034318,Directed,1
26214264,1382743280,Directed,1
26214264,2645220702,Directed,1
26214264,112871323,Directed,1
26214264,32397331,Directed,1
26214264,819168234,Directed,1
26214264,262164620,Directed,1
26214264,38769939,Directed,1
26214264,225341716,Directed,1
26214264,38260259,Directed,1
26214264,20679622,Directed,1
26214264,21746816,Directed,1
26214264,26719515,Directed,1
26214264,951333086,Directed,1
26214264,86154361,Directed,1
26214264,18387289,Directed,1
26214264,204525639,Directed,1
26214264,887106534,Directed,1
26214264,279131939,Directed,1
26214264,419788091,Directed,1
26214264,319228928,Directed,1
26214264,34703909,Directed,1
26214264,19764533,Directed,1
26214264,333903537,Directed,1
26214264,19157451,Directed,1
26214264,30941476,Directed,1
26214264,101727020,Directed,1
26214264,221822662,Directed,1
26214264,20611702,Directed,1
26214264,29928571,Directed,1
26214264,18293645,Directed,1
26214264,34656014,Directed,1
26214264,22415635,Directed,1
26214264,41090452,Directed,1
26214264,32535843,Directed,1
26214264,30759351,Directed,1
26214264,63129578,Directed,1
26214264,27317182,Directed,1
26214264,34941106,Directed,1
26214264,45565446,Directed,1
26214264,20868447,Directed,1
26214264,14687587,Directed,1
26214264,16432083,Directed,1
26214264,37665779,Directed,1
26470805,225341716,Directed,1
26470805,26837025,Directed,1
26470805,20868447,Directed,1
26470805,221822662,Directed,1
26470805,26214264,Directed,1
26470805,63425851,Directed,1
26470805,1551459979,Directed,1
26470805,26588415,Directed,1
26470805,319228928,Directed,1
26470805,23320712,Directed,1
26470805,21746816,Directed,1
26470805,39974570,Directed,1
26470805,37677256,Directed,1
26470805,473914976,Directed,1
26470805,217217458,Directed,1
26470805,273638217,Directed,1
26470805,34703909,Directed,1
26470805,24531620,Directed,1
26470805,30759351,Directed,1
26470805,234132789,Directed,1
26470805,279131939,Directed,1
26470805,26719515,Directed,1
26470805,19764533,Directed,1
26470805,45565446,Directed,1
26470805,39091525,Directed,1
26470805,19119226,Directed,1
26470805,38260259,Directed,1
26470805,63129578,Directed,1
26470805,16432083,Directed,1
26470805,20301193,Directed,1
26470805,32397331,Directed,1
26470805,29928571,Directed,1
26470805,22415635,Directed,1
26470805,20611702,Directed,1
26470805,86154361,Directed,1
26470805,34941106,Directed,1
26588415,107140486,Directed,1
26588415,58733138,Directed,1
26588415,471837649,Directed,1
26588415,2228363243,Directed,1
26588415,34656014,Directed,1
26588415,24143353,Directed,1
26588415,26837025,Directed,1
26588415,18293645,Directed,1
26588415,369395471,Directed,1
26588415,20868447,Directed,1
26588415,19764533,Directed,1
26588415,34703909,Directed,1
26588415,20611702,Directed,1
26588415,221822662,Directed,1
26588415,22415635,Directed,1
26588415,16432083,Directed,1
26588415,32397331,Directed,1
26588415,29928571,Directed,1
26588415,279131939,Directed,1
26588415,217217458,Directed,1
26588415,26470805,Directed,1
26588415,24531620,Directed,1
26588415,23320712,Directed,1
26588415,14687587,Directed,1
26588415,45565446,Directed,1
26588415,27317182,Directed,1
26588415,473914976,Directed,1
26588415,37677256,Directed,1
26588415,19119226,Directed,1
26588415,273638217,Directed,1
26588415,34941106,Directed,1
26588415,21746816,Directed,1
26588415,20301193,Directed,1
26588415,887106534,Directed,1
26588415,63129578,Directed,1
26588415,26719515,Directed,1
26708613,86154361,Directed,1
26708613,234132789,Directed,1
26708613,2605255273,Directed,1
26708613,361852315,Directed,1
26708613,295361148,Directed,1
26708613,32397331,Directed,1
26708613,112871323,Directed,1
26708613,333903537,Directed,1
26708613,273638217,Directed,1
26708613,38260259,Directed,1
26708613,18387289,Directed,1
26708613,45565446,Directed,1
26708613,20679622,Directed,1
26708613,369395471,Directed,1
26708613,18293645,Directed,1
26708613,26719515,Directed,1
26708613,217217458,Directed,1
26708613,26470805,Directed,1
26708613,29928571,Directed,1
26708613,317034318,Directed,1
26708613,221822662,Directed,1
26708613,2228363243,Directed,1
26708613,39974570,Directed,1
26708613,23320712,Directed,1
26708613,19764533,Directed,1
26708613,20611702,Directed,1
26708613,473914976,Directed,1
26708613,195848365,Directed,1
26708613,37677256,Directed,1
26708613,21746816,Directed,1
26708613,63129578,Directed,1
26708613,28952277,Directed,1
26708613,27317182,Directed,1
26708613,279131939,Directed,1
26708613,34703909,Directed,1
26708613,20301193,Directed,1
26708613,19119226,Directed,1
26708613,20868447,Directed,1
26708613,16432083,Directed,1
26708613,37665779,Directed,1
26708613,34941106,Directed,1
26708613,22415635,Directed,1
26719515,20679622,Directed,1
26719515,951333086,Directed,1
26719515,19157451,Directed,1
26719515,14687587,Directed,1
26719515,32397331,Directed,1
26719515,2228363243,Directed,1
26719515,30759351,Directed,1
26719515,86154361,Directed,1
26719515,26214264,Directed,1
26719515,471837649,Directed,1
26719515,333903537,Directed,1
26719515,34703909,Directed,1
26719515,20868447,Directed,1
26719515,369395471,Directed,1
26719515,19119226,Directed,1
26719515,21746816,Directed,1
26719515,899800400,Directed,1
26719515,26470805,Directed,1
26719515,38260259,Directed,1
26719515,63129578,Directed,1
26719515,26588415,Directed,1
26719515,45565446,Directed,1
26719515,273638217,Directed,1
26719515,29928571,Directed,1
26719515,473914976,Directed,1
26719515,18387289,Directed,1
26719515,37677256,Directed,1
26719515,28952277,Directed,1
26719515,34941106,Directed,1
26719515,27317182,Directed,1
26719515,279131939,Directed,1
26719515,39091525,Directed,1
26719515,217217458,Directed,1
26719515,221822662,Directed,1
26719515,26837025,Directed,1
26719515,39974570,Directed,1
26719515,24143353,Directed,1
26719515,16432083,Directed,1
26719515,24531620,Directed,1
26719515,58733138,Directed,1
26719515,20301193,Directed,1
26719515,22415635,Directed,1
26719515,23320712,Directed,1
26837025,907517876973834241,Directed,1
26837025,26470805,Directed,1
26837025,1382743280,Directed,1
26837025,338369157,Directed,1
26837025,39974570,Directed,1
26837025,2645220702,Directed,1
26837025,3119889670,Directed,1
26837025,32535843,Directed,1
26837025,20611702,Directed,1
26837025,86154361,Directed,1
26837025,149410514,Directed,1
26837025,18387289,Directed,1
26837025,838111239750447104,Directed,1
26837025,19764533,Directed,1
26837025,24531620,Directed,1
26837025,14687587,Directed,1
26837025,20679622,Directed,1
26837025,32397331,Directed,1
26837025,819168234,Directed,1
26837025,319228928,Directed,1
26837025,2924816561,Directed,1
26837025,18293645,Directed,1
26837025,45565446,Directed,1
26837025,2228363243,Directed,1
26837025,26588415,Directed,1
26837025,899800400,Directed,1
26837025,27317182,Directed,1
26837025,63129578,Directed,1
26837025,29928571,Directed,1
26837025,221822662,Directed,1
26837025,20868447,Directed,1
26837025,21746816,Directed,1
26837025,37677256,Directed,1
26837025,473914976,Directed,1
26837025,279131939,Directed,1
26837025,217217458,Directed,1
26837025,23320712,Directed,1
26837025,16432083,Directed,1
26837025,58733138,Directed,1
26837025,273638217,Directed,1
26837025,24143353,Directed,1
26837025,26719515,Directed,1
26837025,20301193,Directed,1
26837025,369395471,Directed,1
26837025,22415635,Directed,1
26837025,34941106,Directed,1
26837025,19119226,Directed,1
27317182,42845459,Directed,1
27317182,26837025,Directed,1
27317182,18387289,Directed,1
27317182,20679622,Directed,1
27317182,42042554,Directed,1
27317182,279131939,Directed,1
27317182,333903537,Directed,1
27317182,20301193,Directed,1
27317182,38769939,Directed,1
27317182,2228363243,Directed,1
27317182,1382743280,Directed,1
27317182,419788091,Directed,1
27317182,819168234,Directed,1
27317182,26719515,Directed,1
27317182,887106534,Directed,1
27317182,26214264,Directed,1
27317182,319228928,Directed,1
27317182,19764533,Directed,1
27317182,19157451,Directed,1
27317182,23320712,Directed,1
27317182,34703909,Directed,1
27317182,112871323,Directed,1
27317182,20611702,Directed,1
27317182,30941476,Directed,1
27317182,221822662,Directed,1
27317182,217217458,Directed,1
27317182,225341716,Directed,1
27317182,204525639,Directed,1
27317182,18293645,Directed,1
27317182,26588415,Directed,1
27317182,39974570,Directed,1
27317182,20868447,Directed,1
27317182,101727020,Directed,1
